Timestamp,Prediction
1727675676.963632,NormalSleep
1727675686.975293,NormalSleep
1727675696.983088,NormalSleep
1727675706.992351,NormalSleep
1727675717.007013,NormalSleep
1727675727.0243058,NormalSleep
1727675737.0338,NormalSleep
1727675747.050115,NormalSleep
1727675757.067801,NormalSleep
1727675767.0868428,NormalSleep
1727675777.0981061,ObstructiveApnea
1727675787.107164,ObstructiveApnea
1727675797.1143959,ObstructiveApnea
1727675807.120964,NormalSleep
1727675817.128934,ObstructiveApnea
1727675827.135707,NormalSleep
1727675837.143743,NormalSleep
1727675847.151341,NormalSleep
1727675857.1590168,NormalSleep
1727675867.165636,NormalSleep
1727675877.172359,NormalSleep
1727675887.1801322,NormalSleep
1727675897.186684,NormalSleep
1727675907.1951518,NormalSleep
1727675917.203153,NormalSleep
1727675927.210943,NormalSleep
1727675937.219948,NormalSleep
1727675947.22771,NormalSleep
1727675957.235567,NormalSleep
1727675967.243362,NormalSleep
1727675977.250209,NormalSleep
1727675987.256692,NormalSleep
1727675997.26449,NormalSleep
1727676007.27249,NormalSleep
1727676017.279267,NormalSleep
1727676027.2865868,NormalSleep
1727676037.294623,ObstructiveApnea
1727676047.302539,ObstructiveApnea
1727676057.310538,ObstructiveApnea
1727676067.317499,ObstructiveApnea
1727676077.325258,ObstructiveApnea
1727676087.333004,ObstructiveApnea
1727676097.341177,ObstructiveApnea
1727676107.3477209,NormalSleep
1727676117.355642,NormalSleep
1727676127.3635452,NormalSleep
1727676137.371719,ObstructiveApnea
1727676147.379516,NormalSleep
1727676157.3880472,NormalSleep
1727676167.394721,ObstructiveApnea
1727676177.403125,ObstructiveApnea
1727676187.411188,NormalSleep
1727676197.4192278,ObstructiveApnea
1727676207.4272158,NormalSleep
1727676217.434968,NormalSleep
1727676227.4416761,NormalSleep
1727676237.448405,NormalSleep
1727676247.456207,NormalSleep
1727676257.4626749,NormalSleep
1727676267.471135,NormalSleep
1727676277.4777558,NormalSleep
1727676287.4870222,NormalSleep
1727676297.493703,NormalSleep
1727676307.5001118,NormalSleep
1727676317.5077262,ObstructiveApnea
1727676327.514226,ObstructiveApnea
1727676337.5213802,ObstructiveApnea
1727676347.529191,ObstructiveApnea
1727676357.537695,ObstructiveApnea
1727676367.5446,ObstructiveApnea
1727676377.552938,ObstructiveApnea
1727676387.561113,ObstructiveApnea
1727676397.5698009,ObstructiveApnea
1727676407.576971,ObstructiveApnea
1727676417.584922,ObstructiveApnea
1727676427.5929668,ObstructiveApnea
1727676437.600845,ObstructiveApnea
1727676447.607297,ObstructiveApnea
1727676457.6150131,ObstructiveApnea
1727676467.622736,ObstructiveApnea
1727676477.6292422,ObstructiveApnea
1727676487.637152,ObstructiveApnea
1727676497.645022,ObstructiveApnea
1727676507.652571,ObstructiveApnea
1727676517.6594088,ObstructiveApnea
